Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic
179,Find Minimum in Rotated Sorted Array,153,Medium,53.8,46.7,B,Array/Binary Search
180,Same Tree,100,Easy,66.7,46.7,B,Tree/DFS/BFS
181,Concatenation of Array,1929,Easy,90.5,46.7,B,Array/Simulation
182,Construct Binary Tree from Preorder and Inorder Traversal,105,Medium,68.4,46.7,B,Array/Hash Table/Divide&Conquer/Tree
183,Find All Anagrams in a String,438,Medium,53.3,46.7,B,Hash Table/String/Sliding Window
184,Vertical Order Traversal of a Binary Tree,987,Hard,53.3,46.3,B,Tree/DFS/BFS/Hash Table
185,Maximum Width of Binary Tree,662,Medium,45.3,46.3,B,Tree/DFS/BFS
186,Lowest Common Ancestor of a Binary Search Tree,235,Medium,70.1,46.3,B,Tree/DFS/BST
187,Fizz Buzz,412,Easy,75.3,46.3,B,Math/String/Simulation
188,Word Ladder II,126,Hard,27.5,46.3,B,Hash Table/String/BFS/Backtracking
189,Random Pick with Weight,528,Medium,48.9,45.8,B,Array/Math/Binary Search/Prefix Sum
190,Permutation in String,567,Medium,48.5,45.8,B,Hash Table/Two Pointers/String/Sliding Window
191,The kth Factor of n,1492,Medium,70.2,45.8,B,Math
192,Article Views I,1148,Easy,76.7,45.8,B,Database
193,Reverse Linked List II,92,Medium,51.0,45.3,B,Linked List
194,Surrounded Regions,130,Medium,44.8,45.3,B,Array/DFS/BFS/Union Find/Matrix
195,Find K Closest Elements,658,Medium,49.4,45.3,B,Array/Two Pointers/Binary Search/Heap
196,Lowest Common Ancestor of a Binary Tree III,1650,Medium,82.9,45.3,B,Tree/Hash Table
197,Employees Earning More Than Their Managers,181,Easy,72.9,45.3,B,Database
198,Minimum Health to Beat Game,2186,Medium,58.8,45.3,B,Array/Greedy
199,Reverse String,344,Easy,80.6,44.9,B,Two Pointers/String
200,Pacific Atlantic Water Flow,417,Medium,60.6,44.9,B,Array/DFS/BFS/Matrix
201,Minimum Path Sum,64,Medium,67.8,44.9,B,Array/DP/Matrix
202,Rearrange Array Elements by Sign,2149,Medium,84.5,44.9,B,Array/Two Pointers/Simulation
203,Simplify Path,71,Medium,50.0,44.9,B,String/Stack
204,Populating Next Right Pointers in Each Node,116,Medium,66.9,44.9,B,Linked List/Tree/BFS/DFS
205,Linked List Cycle II,142,Medium,57.3,44.4,B,Hash Table/Linked List/Two Pointers
206,Top K Frequent Words,692,Medium,60.0,44.4,B,Hash Table/String/Trie/Heap/Sorting
207,Sort List,148,Medium,63.9,44.4,B,Linked List/Two Pointers/Divide&Conquer/Merge Sort
208,Subsets II,90,Medium,60.9,44.4,B,Array/Backtracking/Bit Manipulation
209,Kth Smallest Element in a BST,230,Medium,76.5,44.4,B,Tree/DFS/BST
210,Target Sum,494,Medium,51.9,44.4,B,Array/DP/Backtracking
211,Reverse Pairs,493,Hard,33.7,43.9,B,Array/Binary Search/Divide&Conquer/Merge Sort
212,Min Cost Climbing Stairs,746,Easy,68.0,43.9,B,Array/DP
213,Maximal Rectangle,85,Hard,58.1,43.9,B,Array/DP/Stack/Matrix
214,Partition Labels,763,Medium,81.8,43.9,B,Hash Table/Two Pointers/String/Greedy
215,Online Stock Span,901,Medium,68.7,43.9,B,Stack/Design/Monotonic Stack
216,Squares of a Sorted Array,977,Easy,73.6,43.3,C,Array/Two Pointers/Sorting
217,Binary Search,704,Easy,60.5,43.3,C,Array/Binary Search
218,Cheapest Flights Within K Stops,787,Medium,41.4,43.3,C,Graph/DP/BFS/Shortest Path
219,Sort Characters By Frequency,451,Medium,75.1,43.3,C,Hash Table/String/Sorting/Heap
220,Divide Two Integers,29,Medium,19.4,43.3,C,Math/Bit Manipulation
221,Design Parking System,1603,Easy,87.2,43.3,C,Design/Simulation/Counting
222,House Robber III,337,Medium,55.6,42.8,C,Tree/DFS/DP
223,Length of Last Word,58,Easy,58.3,42.8,C,String
224,Invert Binary Tree,226,Easy,79.8,42.8,C,Tree/DFS/BFS
225,Boats to Save People,881,Medium,61.4,42.2,C,Array/Two Pointers/Greedy/Sorting
226,Majority Element II,229,Medium,55.8,42.2,C,Array/Hash Table/Sorting/Counting
227,Minimum Number of Days to Make m Bouquets,1482,Medium,56.3,42.2,C,Array/Binary Search
228,Valid Palindrome II,680,Easy,44.0,42.2,C,Two Pointers/String/Greedy
229,Remove Duplicates from Sorted List,83,Easy,56.3,42.2,C,Linked List
230,Kth Largest Element in a Stream,703,Easy,60.7,42.2,C,Tree/Design/BST/Heap
231,Non-overlapping Intervals,435,Medium,56.7,41.6,C,Array/DP/Greedy/Sorting
232,Critical Connections in a Network,1192,Hard,59.3,41.6,C,Graph/DFS/Biconnected Component
233,Remove K Digits,402,Medium,36.4,41.6,C,String/Stack/Greedy/Monotonic Stack
234,Contiguous Array,525,Medium,50.8,41.6,C,Array/Hash Table/Prefix Sum
235,Swap Nodes in Pairs,24,Medium,69.0,41.0,C,Linked List/Recursion
236,Is Subsequence,392,Easy,48.9,41.0,C,Two Pointers/String/DP
237,Trapping Rain Water II,407,Hard,64.0,41.0,C,Array/Heap/BFS/Matrix
238,Open the Lock,752,Medium,61.2,40.4,C,Array/Hash Table/String/BFS
239,Count and Say,38,Medium,62.3,40.4,C,String
240,Accounts Merge,721,Medium,60.9,39.8,C,Array/Hash Table/String/Union Find/DFS
241,Making A Large Island,827,Hard,56.3,39.8,C,Array/DFS/BFS/Union Find/Matrix
242,Decode Ways,91,Medium,37.6,39.8,C,String/DP
243,Implement Trie (Prefix Tree),208,Medium,69.2,39.1,C,Hash Table/String/Design/Trie
244,Clone Graph,133,Medium,64.7,37.7,C,Graph/DFS/BFS/Hash Table
245,Longest Common Subsequence,1143,Medium,58.9,37.7,C,String/DP
246,Alien Dictionary,269,Hard,37.1,36.9,C,Array/String/Graph/Topological Sort
247,Maximal Square,221,Medium,50.0,36.9,C,Array/DP/Matrix
248,Diagonal Traverse,498,Medium,67.0,36.9,C,Array/Matrix/Simulation
249,Insert Interval,57,Medium,44.8,36.1,C,Array
250,Burst Balloons,312,Hard,63.0,34.4,C,Array/DP
